0 0.09915
1 0.498567
2 0.776367
3 0.856283
4 0.882583
5 0.8954
6 0.902383
7 0.910183
8 0.913833
9 0.9178
10 0.920917
11 0.924733
12 0.928433
13 0.930917
14 0.933667
15 0.935767
16 0.937467
17 0.938883
18 0.940383
19 0.941867
20 0.94285
21 0.944633
22 0.94615
23 0.947183
24 0.94835
25 0.9493
26 0.949967
27 0.951417
28 0.95215
29 0.953333
30 0.95425
31 0.954917
32 0.956233
33 0.956717
34 0.95765
35 0.958133
36 0.9591
37 0.959633
38 0.960933
39 0.961633
40 0.96215
41 0.962767
42 0.9631
43 0.963817
44 0.9645
45 0.96515
46 0.96565
47 0.966117
48 0.966817
49 0.9673
50 0.967767
51 0.968333
52 0.968967
53 0.969383
54 0.96975
55 0.97005
56 0.970683
57 0.971083
58 0.970633
59 0.971317
60 0.971867
